epoch,lr,loss,iou,dice,val_loss,val_iou,val_dice
0.0,1e-05,1.3825864003059711,0.0006590704486911836,0.0012900353941554773,1.3668519145363456,0.000705944915735786,0.001323302886796705
1.0,1e-05,1.3588242348204267,0.0006860357871654081,0.001284846559751647,1.3482698649912328,0.0007711289038488916,0.0013199858328574307
2.0,1e-05,1.338168348657324,0.0007646862008099846,0.0012862628304490858,1.329224125131384,0.0008474463928368573,0.001322813971663759
3.0,1e-05,1.318676550083972,0.0007867437141189877,0.0012924158474075474,1.309104076751343,0.0008577078590042569,0.001330528189076105
4.0,1e-05,1.3006754454146041,0.0007345555986488686,0.0012940948101538253,1.2879791669435912,0.0007935270163876753,0.0013387262001701547
5.0,1e-05,1.285063241136835,0.0006375408088744685,0.001290373641294432,1.278340759334507,0.0006075730089177413,0.0013278241890088782
6.0,1e-05,1.2710315823554992,0.0005362178428268582,0.0012935715483654666,1.265177584313727,0.0005073062611180247,0.0013294591706898907
7.0,1e-05,1.2584994792938233,0.0004532631971997882,0.0012963383316105018,1.253202284013594,0.0004023059207591107,0.0013317552033153151
8.0,1e-05,1.246965116642891,0.0003667724683926666,0.0012989970973954258,1.240704241094294,0.00027129658098821904,0.0013346576984163577
9.0,1e-05,1.2359918150495977,0.00027526431674248825,0.001304068218916498,1.2295213900841437,0.00020891285615798452,0.0013462322691224602
10.0,1e-05,1.2258811382537191,0.00020933406953078706,0.001302157021572504,1.2196795377102527,0.00013265338634775573,0.001347018428805506
11.0,1e-05,1.2163115349221736,0.00014717635827445888,0.0013130318461027739,1.2108362415334681,9.945991389671338e-05,0.0013547429456532308
12.0,1e-05,1.2072448519950216,0.00010197880256570459,0.001317076907444869,1.2018178807391033,5.83013005994117e-05,0.0013592698263227658
13.0,1e-05,1.1989125335470159,7.650516991137918e-05,0.0013260133609106447,1.193874484413749,3.624675580123448e-05,0.0013688306208551354
14.0,1e-05,1.1910466247416558,5.131269406344662e-05,0.0013294271465052535,1.1862156241090147,1.1081876325407779e-05,0.0013828333420639238
15.0,1e-05,1.1836682875105675,2.960115561287283e-05,0.0013326609680101927,1.1784204730501662,8.13781570164471e-06,0.0013806733655255192
16.0,1e-05,1.1765500905665947,2.2537261798941888e-05,0.0013474031846193034,1.171851747876757,5.9428383450887264e-06,0.0013966281383613751
17.0,1e-05,1.1700404321893734,1.155546718548971e-05,0.001353167689153326,1.1652709390971805,5.1694276576948235e-06,0.0014008834795335972
18.0,1e-05,1.1636519581713576,4.76057022982191e-06,0.0013604491112584804,1.1591651684992559,6.7159604856135046e-06,0.0014132036747336522
19.0,1e-05,1.15789126994762,4.796102705751756e-06,0.001365813510940938,1.1535346080492308,4.86220279067676e-06,0.0014157937291832334
20.0,1e-05,1.1523265305985795,1.1358166136029524e-06,0.0013738725972706448,1.1486991977358199,7.930632555898586e-06,0.0014131914376787871
21.0,1e-05,1.147207814328214,1.4468111595665062e-06,0.0013796617324080276,1.1429321433638002,7.90512292293696e-06,0.0014424423097668026
22.0,1e-05,1.1421502290888035,6.19713391330979e-07,0.0013893492305010965,1.1386689921835442,5.8259434120641415e-06,0.0014415115666906466
23.0,1e-05,1.1375277247834712,3.854951693098177e-09,0.0014009713156179992,1.1333432361915277,1.1891573338246346e-08,0.001458409330942618
24.0,1e-05,1.1330055827790118,4.227206959335252e-09,0.0014040765386829543,1.1291756121428695,1.4272701103528331e-08,0.0014566654045897766
25.0,1e-05,1.1289026448067199,3.9957766880686807e-07,0.0014140996924245006,1.1261540706102904,1.3366029969431737e-08,0.00147832575214557
26.0,1e-05,1.1249039556117768,5.245336658800806e-09,0.0014242759270475065,1.1217596015253744,1.5077342764888866e-08,0.0014751741130696664
27.0,1e-05,1.121297461428541,5.740514220342252e-09,0.001426047559799708,1.118673701029081,1.7706621358436655e-08,0.0014795187168771496
28.0,1e-05,1.1176425789264923,6.283730288052069e-09,0.001435709018203736,1.1149230796497662,1.851335087137754e-08,0.0014858412093291342
29.0,1e-05,1.1143256588185086,7.009147415045506e-09,0.0014416488877333677,1.1114240782363312,1.4656898721019818e-08,0.0015147101511346452
30.0,1e-05,1.1112408318418137,7.561732638044817e-09,0.0014486324949624307,1.1085452726194551,1.6996992328678407e-08,0.0015196049331533668
31.0,1e-05,1.1081255600807514,8.2761135951e-09,0.001459163198408868,1.1053448399821004,1.7295484147164324e-08,0.0015181173110626186
32.0,1e-05,1.1052469601022437,9.109286653213068e-09,0.0014683253147961188,1.1026216141589276,1.810988642433846e-08,0.0015374838698805394
33.0,1e-05,1.102515257165787,9.749121927429093e-09,0.0014708386383988992,1.1000904021086868,1.8001126048443628e-08,0.0015340867592072108
34.0,1e-05,1.0999105377400176,1.0293831236931472e-08,0.00147550261307769,1.0974741052318882,1.8452494043989724e-08,0.0015455749502006249
35.0,1e-05,1.0975458911124696,1.0744155649116471e-08,0.0014820503201147515,1.094884078223984,2.0373669581359367e-08,0.001530639189787521
36.0,1e-05,1.0950999987886307,1.1258389915336859e-08,0.001486477726314113,1.0931956355983798,2.0375507772871558e-08,0.0015444518836626668
37.0,1e-05,1.0927892634209166,1.1656918161578672e-08,0.001495773115875913,1.0903526009855928,2.0962851976868546e-08,0.0015566223918325821
38.0,1e-05,1.0908057174784072,1.1878001877841348e-08,0.001493059468379958,1.0873074917407421,2.2381574447426928e-08,0.001601508414559169
39.0,1e-05,1.088658051541511,1.2436355943612513e-08,0.0014981630099043684,1.0863557495437302,2.261100704236073e-08,0.00158275287908951
